"[run number]","r","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"6","0","1","55","deterministic","7699","101","89.99999999999999","11.418068589804179"
"5","0","1","55","deterministic","9649","101","90.00000000000003","12.479004214439339"
"4","0","1","50","deterministic","11279","101","90","3.7071622123629027"
"3","0","1","50","deterministic","10508","101","89.99999999999999","10.739145613970429"
"2","0","1","50","deterministic","11004","101","90","5.724182877483323"
"7","0","1","55","deterministic","8109","101","89.99999999999999","8.338506119762215"
"8","0","1","55","deterministic","7750","101","89.99999999999999","9.067002414754882"
"10","0","1","60","deterministic","8059","101","89.99999999999999","11.64667882670142"
"11","0","1","60","deterministic","6795","101","90","6.9630809315513575"
"1","0","1","50","deterministic","11657","101","89.99999999999997","6.894579406370859"
"9","0","1","60","deterministic","8934","101","90.00000000000001","8.794441050564958"
"12","0","1","60","deterministic","8981","101","90.00000000000001","2.4195350972164"
"13","0","1","65","deterministic","8572","101","89.99999999999999","6.904221075887088"
"14","0","1","65","deterministic","8411","101","89.99999999999999","4.492750121113368"
"17","0","1","70","deterministic","6500","101","90.00000000000001","5.323109272033687"
"15","0","1","65","deterministic","8843","101","90.00000000000001","2.665109093666168"
"18","0","1","70","deterministic","7966","101","89.99999999999999","9.180399314852133"
"20","0","1","70","deterministic","6374","101","90","9.86476803356059"
"21","0","1","75","deterministic","6445","101","89.99999999999999","4.961883455601079"
"19","0","1","70","deterministic","7304","101","90","6.421577175329537"
"22","0","1","75","deterministic","6352","101","90.00000000000001","1.8618957834969603"
"16","0","1","65","deterministic","9119","101","89.99999999999999","6.330838729816267"
"25","0","1","80","deterministic","6272","101","89.99999999999999","8.642918343902842"
"26","0","1","80","deterministic","6956","101","89.99999999999999","7.292326991837948"
"24","0","1","75","deterministic","7151","101","90","3.892792194401879"
"27","0","1","80","deterministic","6822","101","90.00000000000001","9.535753597842012"
"23","0","1","75","deterministic","7213","101","90.00000000000001","4.852554361957258"
"28","0","1","80","deterministic","6507","101","90","5.388776275598394"
"29","0","1","85","deterministic","5600","101","90.00000000000001","2.625496633705266"
"30","0","1","85","deterministic","6374","101","89.99999999999999","6.227999374864038"
"31","0","1","85","deterministic","6296","101","89.99999999999999","6.145070526266752"
"33","0","1","90","deterministic","5641","101","90.00000000000001","12.736863659111181"
"32","0","1","85","deterministic","6839","101","90","6.435121894480636"
"37","0","1","95","deterministic","4849","101","90","9.216660302004618"
"36","0","1","90","deterministic","6711","101","90.00000000000001","8.555360718245035"
"35","0","1","90","deterministic","6077","101","89.99999999999999","3.98140294260112"
"34","0","1","90","deterministic","6941","101","89.99999999999999","7.716324494876745"
"38","0","1","95","deterministic","5368","101","90","13.230880986174045"
"39","0","1","95","deterministic","5863","101","90.00000000000001","11.417219003472798"
"41","0","1","100","deterministic","4500","101","90.00000000000001","4.562406008580501"
"42","0","1","100","deterministic","4372","101","90.00000000000001","8.991938342222516"
"44","0","1","100","deterministic","4716","101","90.00000000000001","2.0773309992253677"
"40","0","1","95","deterministic","6114","101","89.99999999999999","14.22121539429577"
"45","0","1","105","deterministic","5138","101","90","8.605198550581967"
"47","0","1","105","deterministic","4726","101","90","13.046830568721427"
"46","0","1","105","deterministic","5350","101","90","8.3555696287851"
"43","0","1","100","deterministic","7236","101","89.99999999999999","1.1646049958559352"
"49","0","1","110","deterministic","4685","101","90","5.35682924673529"
"48","0","1","105","deterministic","5779","101","89.99999999999999","14.75648345957232"
"51","0","1","110","deterministic","4965","101","90","5.990982708953986"
"52","0","1","110","deterministic","4791","101","90.00000000000001","9.514936117248793"
"50","0","1","110","deterministic","6139","101","90.00000000000001","11.831361690129823"
"53","0","1","115","deterministic","4933","101","89.99999999999999","8.884688140421082"
"55","0","1","115","deterministic","4237","101","89.99999999999999","10.841949422606795"
"56","0","1","115","deterministic","4466","101","90.00000000000001","14.497707281411516"
"57","0","1","120","deterministic","4125","101","90","6.0703414147930985"
"54","0","1","115","deterministic","5938","101","90","9.386667971679774"
"58","0","1","120","deterministic","4577","101","90","4.9347969752589655"
"59","0","1","120","deterministic","4607","101","90.00000000000001","11.710157821515988"
"60","0","1","120","deterministic","5553","101","89.99999999999999","6.914325114490147"
"61","0","1","125","deterministic","5042","101","90.00000000000001","6.000937185222446"
"62","0","1","125","deterministic","5465","101","90","13.393867855354504"
"63","0","1","125","deterministic","5086","101","90","8.583090234007384"
"64","0","1","125","deterministic","4185","101","90.00000000000001","2.309406220928594"
"66","0","1","130","deterministic","4014","101","89.99999999999999","8.60126264424491"
"67","0","1","130","deterministic","3762","101","89.99999999999999","2.9795576418043748"
"68","0","1","130","deterministic","4103","101","90.00000000000001","3.394959982420758"
"69","0","1","135","deterministic","3827","101","90.00000000000001","6.024561098950751"
"65","0","1","130","deterministic","4745","101","90","9.016246843897823"
"70","0","1","135","deterministic","4823","101","90","8.81940087116606"
"71","0","1","135","deterministic","3893","101","90","8.055954801270587"
"72","0","1","135","deterministic","4757","101","90.00000000000001","8.330646698047198"
"73","0","1","140","deterministic","4257","101","90","10.07022909322048"
"74","0","1","140","deterministic","4131","101","89.99999999999999","9.921863760312682"
"76","0","1","140","deterministic","3973","101","90.00000000000001","11.13242821376059"
"77","0","1","145","deterministic","3972","101","90.00000000000001","4.859245609138753"
"75","0","1","140","deterministic","4571","101","90","4.293013829652426"
"79","0","1","145","deterministic","3403","101","89.99999999999999","15.040440598097883"
"78","0","1","145","deterministic","4656","101","90","9.505379723304232"
"80","0","1","145","deterministic","3348","101","90","15.661883028239272"
"81","0","1","150","deterministic","3201","101","90.00000000000001","8.7587236506257"
"87","0","1","155","deterministic","2938","101","89.99999999999999","15.84475727978102"
"85","0","1","155","deterministic","3397","101","90","13.922032244121729"
"82","0","1","150","deterministic","4200","101","90","2.1535789425226346"
"83","0","1","150","deterministic","4016","101","89.99999999999999","5.336552844004109"
"84","0","1","150","deterministic","4013","101","90","21.34294946083995"
"86","0","1","155","deterministic","3932","101","90","9.873736362026229"
"88","0","1","155","deterministic","3522","101","89.99999999999999","3.8926131458043045"
"89","0","1","160","deterministic","3313","101","90","10.755909672321462"
"91","0","1","160","deterministic","3813","101","89.99999999999999","4.419500566903603"
"90","0","1","160","deterministic","3642","101","89.99999999999999","13.869411499549951"
"93","0","1","165","deterministic","3990","101","90.00000000000001","6.892166068617648"
"92","0","1","160","deterministic","4745","101","90","8.35673005383911"
"94","0","1","165","deterministic","3424","101","89.99999999999999","5.274882446960719"
"95","0","1","165","deterministic","3819","101","90","11.71691761362889"
"96","0","1","165","deterministic","3210","101","90","11.95832950863008"
"97","0","1","170","deterministic","3420","101","90","17.725112881371118"
"101","0","1","175","deterministic","2703","101","90","22.731305822021614"
"100","0","1","170","deterministic","3522","101","89.99999999999999","6.820588550693517"
"99","0","1","170","deterministic","4065","101","90","22.482508242209764"
"98","0","1","170","deterministic","3964","101","90","4.818758059713402"
"103","0","1","175","deterministic","2957","101","90.00000000000001","7.953438548577605"
"102","0","1","175","deterministic","3158","101","90.00000000000001","22.962818433268435"
"105","0","1","180","deterministic","3529","101","90","12.580024212519797"
"107","0","1","180","deterministic","2725","101","90","4.0172463483025505"
"106","0","1","180","deterministic","3395","101","90","13.70853574344414"
"108","0","1","180","deterministic","3614","101","90","19.837906534735843"
"104","0","1","175","deterministic","4131","101","90","13.589664884058411"
"111","0","1","185","deterministic","2703","101","90","21.739372803294764"
"109","0","1","185","deterministic","3493","101","90.00000000000001","6.471008098673135"
"110","0","1","185","deterministic","3093","101","90","5.151621555083735"
"112","0","1","185","deterministic","2811","101","90","2.561154905373261"
"113","0","1","190","deterministic","2665","101","90","7.233182197212991"
"115","0","1","190","deterministic","3364","101","89.99999999999999","22.852381899213718"
"116","0","1","190","deterministic","2880","101","90.00000000000001","10.039907125158178"
"114","0","1","190","deterministic","3391","101","90.00000000000001","16.84665210240571"
"117","0","1","195","deterministic","2921","101","90","8.22034682512001"
"118","0","1","195","deterministic","2919","101","90","14.99016703458989"
"122","0","1","200","deterministic","3131","101","90","7.502888860872283"
"121","0","1","200","deterministic","2839","101","90.00000000000001","16.099377872028548"
"120","0","1","195","deterministic","2941","101","90","11.586201200328594"
"123","0","1","200","deterministic","2998","101","89.99999999999999","17.74205829772313"
"119","0","1","195","deterministic","3765","101","90","32.084985359347236"
"124","0","1","200","deterministic","2941","101","90.00000000000001","20.890156167567508"
"127","0","1","205","deterministic","2322","101","89.99999999999999","13.14255550426604"
"125","0","1","205","deterministic","2682","101","90","11.098038374854827"
"129","0","1","210","deterministic","2800","101","90.00000000000001","16.43522057780639"
"126","0","1","205","deterministic","3436","101","90","2.8171298577522985"
"130","0","1","210","deterministic","2814","101","90","16.24243285437098"
"128","0","1","205","deterministic","4121","101","90","22.7184972716827"
"131","0","1","210","deterministic","3332","101","90.00000000000001","5.9934114240406835"
"133","0","1","215","deterministic","2609","101","90","16.987713187296226"
"132","0","1","210","deterministic","2998","101","90","8.431135047741039"
"134","0","1","215","deterministic","2463","101","90","8.9246058076262"
