"[run number]","r","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"3","0","1","300","deterministic","2085","101","90","17.386334146330444"
"4","0","1","300","deterministic","2463","101","90","18.912924298166644"
"2","0","1","300","deterministic","2166","101","90","26.468360250423306"
"6","0","1.04","300","deterministic","2047","97","89.65012267002183","14.431926704477279"
"1","0","1","300","deterministic","2443","101","90.00000000000001","12.674515071815529"
"5","0","1.04","300","deterministic","2041","97","89.65012267002183","6.694600031781062"
"8","0","1.04","300","deterministic","2274","97","89.65012267002182","25.663303193939083"
"12","0","1.08","300","deterministic","1908","94","90.02485717812746","18.386757529993933"
"7","0","1.04","300","deterministic","2547","97","89.65012267002183","20.330517747268143"
"10","0","1.08","300","deterministic","2324","94","90.02485717812746","19.7956940941666"
"11","0","1.08","300","deterministic","2302","94","90.02485717812748","1.1905764075411422"
"9","0","1.08","300","deterministic","4154","94","90.02485717812748","10.054390716466454"
"17","0","1.16","300","deterministic","2083","87","89.00260254522478","25.979917037642085"
"15","0","1.12","300","deterministic","2802","90","89.11394113209677","29.712559431924603"
"16","0","1.12","300","deterministic","2802","90","89.11394113209681","36.31307681235873"
"13","0","1.12","300","deterministic","3474","90","89.11394113209681","6.770436593447299"
"14","0","1.12","300","deterministic","3210","90","89.11394113209677","21.570622524361337"
"18","0","1.16","300","deterministic","1923","87","89.00260254522479","16.42240070484783"
"19","0","1.16","300","deterministic","2501","87","89.00260254522479","19.599385213268118"
"22","0","1.2","300","deterministic","2030","84","88.66747970502698","24.11782209845864"
"21","0","1.2","300","deterministic","2255","84","88.66747970502695","19.650269859438815"
"20","0","1.16","300","deterministic","2998","87","89.00260254522479","14.807201937036359"
"24","0","1.2","300","deterministic","1965","84","88.66747970502698","25.693843382963475"
"23","0","1.2","300","deterministic","2615","84","88.66747970502695","9.371542184793029"
"27","0","1.24","300","deterministic","2190","82","89.27999999999983","22.834300509630133"
"25","0","1.24","300","deterministic","2531","82","89.27999999999986","18.907431753112434"
"29","0","1.28","300","deterministic","2070","79","88.5353460911002","16.994932830724863"
"26","0","1.24","300","deterministic","2531","82","89.27999999999984","4.930532868235117"
"30","0","1.28","300","deterministic","2061","79","88.53534609110022","11.978264747685815"
"28","0","1.24","300","deterministic","2696","82","89.27999999999986","40.22002705988469"
"32","0","1.28","300","deterministic","2125","79","88.5353460911002","26.202976425422104"
"33","0","1.32","300","deterministic","2036","77","88.8125067890528","27.306472872729948"
"31","0","1.28","300","deterministic","2515","79","88.5353460911002","11.907871487851857"
"34","0","1.32","300","deterministic","2302","77","88.8125067890528","35.36997948567913"
"35","0","1.32","300","deterministic","2479","77","88.8125067890528","11.084841706594483"
"36","0","1.32","300","deterministic","2536","77","88.81250678905278","16.15070595339869"
"39","0","1.36","300","deterministic","2000","74","87.66015490636799","18.4401419754963"
"38","0","1.36","300","deterministic","2354","74","87.660154906368","22.310166276051916"
"41","0","1.4","300","deterministic","1803","72","87.60339031755296","9.24756708522962"
"37","0","1.36","300","deterministic","2724","74","87.66015490636798","18.09662953698499"
"40","0","1.36","300","deterministic","2724","74","87.66015490636798","43.58360069025684"
"42","0","1.4","300","deterministic","2569","72","87.60339031755296","18.17250981160301"
