"[run number]","dist-for-first","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"6","uniform","1","55","Discrete directions, continuous step","25187","1355","9.674716479177782","7.721551080385904"
"1","uniform","1","50","Discrete directions, continuous step","23768","1818","9.404730397617406","7.2036473796310645"
"3","uniform","1","50","Discrete directions, continuous step","27136","2087","10.384680455149677","7.122769159587729"
"4","uniform","1","50","Discrete directions, continuous step","28406","2059","8.806935350063569","7.082464129431124"
"2","uniform","1","50","Discrete directions, continuous step","30928","1747","9.92943543888154","7.227791114383223"
"5","uniform","1","55","Discrete directions, continuous step","27490","1481","8.212646226493547","7.692208029890372"
"9","uniform","1","60","Discrete directions, continuous step","25998","1056","9.312740676277954","7.864438975351832"
"8","uniform","1","55","Discrete directions, continuous step","28451","2418","7.97262820165875","7.663296811790782"
"10","uniform","1","60","Discrete directions, continuous step","30573","1364","7.9192762238032515","7.874770284551252"
"7","uniform","1","55","Discrete directions, continuous step","27448","1353","6.335431443650037","7.760136502068915"
"13","uniform","1","65","Discrete directions, continuous step","21898","1350","5.8841645700084655","8.177063372677386"
"12","uniform","1","60","Discrete directions, continuous step","25568","2103","7.016996772175979","7.9484710885833865"
"15","uniform","1","65","Discrete directions, continuous step","21728","1442","10.871375618837071","8.392511501880016"
"14","uniform","1","65","Discrete directions, continuous step","26762","1668","9.433663651118586","8.150341015050355"
"11","uniform","1","60","Discrete directions, continuous step","26809","1642","6.251968504714441","7.66159257351698"
"16","uniform","1","65","Discrete directions, continuous step","23367","1829","7.973057456048259","8.428853368854353"
"18","uniform","1","70","Discrete directions, continuous step","20798","2777","5.540372613390566","8.61375108856931"
"17","uniform","1","70","Discrete directions, continuous step","28824","1582","5.491416598624717","8.669038707403287"
"21","uniform","1","75","Discrete directions, continuous step","23607","1745","5.975357910612367","9.022074379194953"
"22","uniform","1","75","Discrete directions, continuous step","21869","1701","5.664383237871128","8.898956309473657"
"20","uniform","1","70","Discrete directions, continuous step","24416","1517","9.629512543113343","8.369520892540725"
"23","uniform","1","75","Discrete directions, continuous step","23812","1787","5.3828728335757035","8.957088589011768"
"24","uniform","1","75","Discrete directions, continuous step","19629","2074","7.259858412880867","8.840328357069426"
"19","uniform","1","70","Discrete directions, continuous step","28755","1724","7.198954152837828","8.480446239325914"
"26","uniform","1","80","Discrete directions, continuous step","21666","1963","5.069913320011082","9.018997785269631"
"25","uniform","1","80","Discrete directions, continuous step","21376","1989","6.227908021801518","9.228847652176462"
"27","uniform","1","80","Discrete directions, continuous step","17925","1911","7.442042055465585","9.186498054524492"
"28","uniform","1","80","Discrete directions, continuous step","20635","1679","7.799199230141916","9.189583967768927"
"29","uniform","1","85","Discrete directions, continuous step","20586","1430","7.675516116837905","9.370754725673178"
"32","uniform","1","85","Discrete directions, continuous step","16397","1380","9.246079375378216","9.680194853227679"
"30","uniform","1","85","Discrete directions, continuous step","18078","1271","8.291719477376951","9.256011088912695"
"33","uniform","1","90","Discrete directions, continuous step","18408","1708","4.46949223382185","9.731591072194576"
"31","uniform","1","85","Discrete directions, continuous step","24483","1992","7.883439177248189","9.411662135575558"
"34","uniform","1","90","Discrete directions, continuous step","19283","1386","10.900334339613337","9.55663877637714"
"35","uniform","1","90","Discrete directions, continuous step","18354","1661","8.62655476949319","9.811695488068906"
"37","uniform","1","95","Discrete directions, continuous step","20760","1253","5.588787902332996","9.825795414478097"
"38","uniform","1","95","Discrete directions, continuous step","16119","1533","8.290433290536349","10.04465650324488"
"36","uniform","1","90","Discrete directions, continuous step","22574","1416","5.875083992870223","9.324322030206716"
"40","uniform","1","95","Discrete directions, continuous step","18376","1240","8.188039193730063","9.611730790045343"
"39","uniform","1","95","Discrete directions, continuous step","18396","1551","7.779029133484791","9.803773695891923"
"41","uniform","1","100","Discrete directions, continuous step","15053","1786","8.171298640766466","10.203657368837012"
"42","uniform","1","100","Discrete directions, continuous step","15368","1868","7.280320989046558","10.10561939635962"
"43","uniform","1","100","Discrete directions, continuous step","17169","1883","8.845044048441991","10.416178380959037"
"46","uniform","1","105","Discrete directions, continuous step","14668","1294","5.530222944954559","10.452067083188464"
"45","uniform","1","105","Discrete directions, continuous step","15862","1424","8.66894319540905","10.595961085792817"
"47","uniform","1","105","Discrete directions, continuous step","15281","1569","6.6198018396346185","10.490172749491236"
"44","uniform","1","100","Discrete directions, continuous step","16474","1629","6.1503185932417495","10.247022340349472"
"48","uniform","1","105","Discrete directions, continuous step","15123","1846","8.113138304157395","10.35858843986291"
"49","uniform","1","110","Discrete directions, continuous step","15953","1207","8.899803998625721","10.670854773628294"
"54","uniform","1","115","Discrete directions, continuous step","14201","1455","6.652635373037256","11.095206349304185"
"51","uniform","1","110","Discrete directions, continuous step","15754","1516","5.094682435224719","10.801324997267859"
"53","uniform","1","115","Discrete directions, continuous step","17564","1173","4.992419887735828","10.964820352823978"
"52","uniform","1","110","Discrete directions, continuous step","16946","1826","9.28020882089421","10.735280596367929"
"55","uniform","1","115","Discrete directions, continuous step","15954","1723","6.365830030548281","10.880447875547123"
"50","uniform","1","110","Discrete directions, continuous step","20993","1590","7.137458393766373","10.840772193498864"
"58","uniform","1","120","Discrete directions, continuous step","15264","1764","8.039764515275543","11.074079418077895"
"57","uniform","1","120","Discrete directions, continuous step","16189","1552","9.24718525448813","11.45549513898264"
"59","uniform","1","120","Discrete directions, continuous step","15801","1183","8.782933214284515","11.06953739507521"
"56","uniform","1","115","Discrete directions, continuous step","15801","2549","4.024096008128549","10.897062861957597"
"61","uniform","1","125","Discrete directions, continuous step","14577","1364","4.759797633494159","11.429339502209942"
"60","uniform","1","120","Discrete directions, continuous step","15297","1742","4.5099108129139545","11.155007949897065"
"62","uniform","1","125","Discrete directions, continuous step","13685","1113","6.23801590686309","11.519352096308484"
"63","uniform","1","125","Discrete directions, continuous step","15651","1258","6.105869587803959","11.509724957198465"
"65","uniform","1","130","Discrete directions, continuous step","12598","1813","3.825397227607354","11.756780672415116"
