"[run number]","heavy-tail-dist","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"3","pareto","1","50","levy","25216","1044","17.56911142297284","9.075917436738232"
"6","pareto","1","55","levy","21177","43","2.3535284844369677","9.282867253892395"
"5","pareto","1","55","levy","21895","151","8.590814707195928","9.211487976373885"
"2","pareto","1","50","levy","22822","610","13.442579181910467","9.102548689041843"
"1","pareto","1","50","levy","29019","745","13.986550694279444","8.784249105831305"
"8","pareto","1","55","levy","22726","197","15.136350452971582","10.16579149972903"
"9","pareto","1","60","levy","23201","864","15.30761824940879","9.766321401344037"
"4","pareto","1","50","levy","32320","397","13.485552504223381","9.00693203468083"
"10","pareto","1","60","levy","23637","420","15.932455280167062","9.693719098272362"
"13","pareto","1","65","levy","15292","604","15.552802860076056","10.530628414959212"
"12","pareto","1","60","levy","20669","305","13.383420096485544","9.700179564546275"
"11","pareto","1","60","levy","23811","400","11.240489728705278","10.018731903291792"
"7","pareto","1","55","levy","29059","332","15.688364715822043","9.928954504783636"
"14","pareto","1","65","levy","20016","502","11.035211127752564","10.135963954155617"
"16","pareto","1","65","levy","18385","209","7.632062339607582","9.801116922417954"
"17","pareto","1","70","levy","17830","338","16.032386330482545","10.872371976390548"
"15","pareto","1","65","levy","20867","451","22.000768276925115","11.238842518358307"
"18","pareto","1","70","levy","19465","562","16.554210326057323","11.11234494337229"
"21","pareto","1","75","levy","18959","1147","20.40535669533093","11.433072776552809"
"19","pareto","1","70","levy","21444","797","18.607193953774487","10.829438293944001"
"22","pareto","1","75","levy","19995","680","17.544499040041867","11.53846147662005"
"23","pareto","1","75","levy","18724","490","12.574977127131916","11.093267170984062"
"20","pareto","1","70","levy","21636","19","4.191235102770722","11.225646274434489"
"26","pareto","1","80","levy","14976","244","10.80483511476178","11.717984156656602"
"25","pareto","1","80","levy","15920","579","13.163908083304634","11.530998007347431"
"24","pareto","1","75","levy","17367","254","8.9538242851025","11.457087220486482"
"27","pareto","1","80","levy","15319","729","15.968793794818374","11.42354297984202"
"28","pareto","1","80","levy","16506","138","6.322879953615734","11.285062568549327"
"29","pareto","1","85","levy","17303","506","12.281446340287292","12.098412181981205"
"33","pareto","1","90","levy","13926","658","19.783319561441473","12.522196965420344"
"32","pareto","1","85","levy","15440","264","14.084089198357077","11.909003357977094"
"31","pareto","1","85","levy","19158","298","9.265135085293249","12.30643497778654"
"30","pareto","1","85","levy","17579","512","12.531876596790662","11.910454005695334"
"34","pareto","1","90","levy","16430","150","7.663779079874216","13.250131876010338"
"35","pareto","1","90","levy","13073","130","7.6449173457950845","12.394453022002086"
"37","pareto","1","95","levy","10669","31","2.1860284280417037","11.759785438700902"
"38","pareto","1","95","levy","13807","297","10.694258492080106","13.721592837699427"
"39","pareto","1","95","levy","14181","314","12.765175312361116","12.448088308200889"
