"[run number]","heavy-tail-dist","step-size","num","rw-type","[step]","ticks-till-border","max-diff-msd","mean-displacement"
"6","pareto","1.04","300","levy","5529","35","2.4737620671808305","21.722557200300834"
"3","pareto","1","300","levy","5706","84","4.646880014745355","24.27266741304167"
"5","pareto","1.04","300","levy","5538","30","5.064574187334529","30.74451858395053"
"2","pareto","1","300","levy","5880","104","7.571086931262453","23.70662708722119"
"4","pareto","1","300","levy","5970","85","7.592640022712061","22.966475936943066"
"1","pareto","1","300","levy","5427","176","8.061897803080054","23.275773089550217"
"7","pareto","1.04","300","levy","5487","280","10.310086250296493","24.19162512977893"
"11","pareto","1.08","300","levy","5041","28","3.108405690875493","27.076178344501574"
"9","pareto","1.08","300","levy","5226","111","6.696596647184107","24.431394013967353"
"10","pareto","1.08","300","levy","6102","508","15.110984962653795","25.73745534923067"
"8","pareto","1.04","300","levy","6532","75","7.955243690226528","29.314857712075664"
"12","pareto","1.08","300","levy","6682","21","2.723648203218022","25.143889022191722"
"13","pareto","1.12","300","levy","4848","154","8.984403675549204","26.637138289379475"
"14","pareto","1.12","300","levy","5433","77","7.046710133389588","26.604387104027044"
"15","pareto","1.12","300","levy","5492","245","10.626310720835399","27.676283855688762"
"16","pareto","1.12","300","levy","4941","31","3.693858297189376","24.414148125453544"
"17","pareto","1.16","300","levy","4937","13","1.8022168977744464","24.418091801209282"
"18","pareto","1.16","300","levy","5426","299","15.004401864954644","27.850442352654316"
"19","pareto","1.16","300","levy","5058","274","10.437457673656908","27.750743863944827"
"22","pareto","1.2","300","levy","4305","157","9.159453416519185","28.107688936238528"
"21","pareto","1.2","300","levy","4711","21","2.0533883653654668","31.077384102703313"
"20","pareto","1.16","300","levy","5506","8","2.11579050760013","30.82677446663801"
"23","pareto","1.2","300","levy","4766","77","7.73630876943103","29.14904331950044"
"24","pareto","1.2","300","levy","4574","61","4.651996033681661","28.070431338962415"
"25","pareto","1.24","300","levy","4226","160","7.146026091570446","28.998942167783667"
"26","pareto","1.24","300","levy","4091","27","4.065523167961232","26.775983950961006"
"28","pareto","1.24","300","levy","4242","36","2.537827679628106","25.069964294976895"
"27","pareto","1.24","300","levy","4904","27","5.718836112048805","35.013585409328456"
"29","pareto","1.28","300","levy","3824","225","12.107617047285729","29.544438763749877"
"31","pareto","1.28","300","levy","4125","138","7.641399554990901","28.708836078576866"
"30","pareto","1.28","300","levy","4361","153","8.767875656307362","31.42779101553296"
"32","pareto","1.28","300","levy","3796","19","4.778243065856838","30.509161579067243"
"33","pareto","1.32","300","levy","3916","76","9.58342706747552","36.56712830994405"
"35","pareto","1.32","300","levy","4160","4","1.100071594014158","29.875181457938083"
"34","pareto","1.32","300","levy","4116","80","5.5119019433139815","27.833154215080164"
"36","pareto","1.32","300","levy","4039","2","1.004955748726928","48.40798843327714"
"38","pareto","1.36","300","levy","3818","47","5.557512642536272","31.38722657013909"
"39","pareto","1.36","300","levy","3860","11","2.9737800463521378","30.07593595139644"
"40","pareto","1.36","300","levy","3367","10","1.5552431200726047","27.38017981315193"
"37","pareto","1.36","300","levy","5195","10","2.4645888464793684","37.07305579892957"
"41","pareto","1.4","300","levy","3813","14","5.936663387540947","41.70864978129181"
"42","pareto","1.4","300","levy","3894","12","3.366119555940162","28.078848834164123"
"43","pareto","1.4","300","levy","4080","66","6.4620686684959345","34.139989669827486"
"44","pareto","1.4","300","levy","3819","43","6.0022514854106515","35.01127297596211"
"45","pareto","1.44","300","levy","3395","153","10.009355015027982","33.75707849186635"
"47","pareto","1.44","300","levy","3826","19","4.454743819874127","33.42423664598415"
"46","pareto","1.44","300","levy","3829","60","7.299308308830808","39.1010970454313"
"48","pareto","1.44","300","levy","3397","3","0.5958056143688322","14.283081252342352"
"49","pareto","1.48","300","levy","3189","75","6.34434971233043","34.25220354721943"
"50","pareto","1.48","300","levy","3576","29","5.43312296095962","35.087258414434004"
"51","pareto","1.48","300","levy","4123","35","4.158690947783622","36.32441251929352"
"52","pareto","1.48","300","levy","3466","9","2.114594965697058","42.53376944535314"
"54","pareto","1.52","300","levy","3573","9","1.8372706652511668","32.98147644560683"
"53","pareto","1.52","300","levy","3988","33","4.720080684905122","37.174581892645044"
