"[run number]","step-size","r","num","rw-type","[step]","covered","r"
"4","3","0.03","300","deterministic","1407","true","0.03"
"2","3","0.01","300","deterministic","1634","true","0.01"
"3","3","0.02","300","deterministic","1845","true","0.02"
"1","3","0","300","deterministic","2411","true","0"
"5","3","0.04","300","deterministic","1525","true","0.04"
"6","3","0.05","300","deterministic","1536","true","0.05"
"7","3","0.06","300","deterministic","1690","true","0.06"
"8","3","0.07","300","deterministic","1413","true","0.07"
"9","3","0.08","300","deterministic","1483","true","0.08"
"10","3","0.09","300","deterministic","1461","true","0.09"
"11","3","0.1","300","deterministic","1295","true","0.1"
"13","3","0.12","300","deterministic","1345","true","0.12"
"12","3","0.11","300","deterministic","1418","true","0.11"
"14","3","0.13","300","deterministic","1416","true","0.13"
"15","3","0.14","300","deterministic","1500","true","0.14"
"17","3","0.16","300","deterministic","1291","true","0.16"
"16","3","0.15","300","deterministic","1503","true","0.15"
"18","3","0.17","300","deterministic","1373","true","0.17"
"19","3","0.18","300","deterministic","1394","true","0.18"
"20","3","0.19","300","deterministic","1383","true","0.19"
"22","3","0.21","300","deterministic","1529","true","0.21"
"21","3","0.2","300","deterministic","1608","true","0.2"
"23","3","0.22","300","deterministic","1622","true","0.22"
"24","3","0.23","300","deterministic","1344","true","0.23"
"25","3","0.24","300","deterministic","1519","true","0.24"
"26","3","0.25","300","deterministic","1414","true","0.25"
"27","3","0.26","300","deterministic","1868","true","0.26"
"28","3","0.27","300","deterministic","1543","true","0.27"
"29","3","0.28","300","deterministic","1405","true","0.28"
"30","3","0.29","300","deterministic","1556","true","0.29"
"31","3","0.3","300","deterministic","1460","true","0.3"
"32","3","0.31","300","deterministic","1564","true","0.31"
"33","3","0.32","300","deterministic","1785","true","0.32"
"34","3","0.33","300","deterministic","1589","true","0.33"
"35","3","0.34","300","deterministic","1405","true","0.34"
"37","3","0.36","300","deterministic","1436","true","0.36"
"38","3","0.37","300","deterministic","1432","true","0.37"
"39","3","0.38","300","deterministic","1583","true","0.38"
"36","3","0.35","300","deterministic","2225","true","0.35"
"41","3","0.4","300","deterministic","1302","true","0.4"
"40","3","0.39","300","deterministic","1598","true","0.39"
"42","3","0.41","300","deterministic","1720","true","0.41"
"43","3","0.42","300","deterministic","1639","true","0.42"
"44","3","0.43","300","deterministic","1551","true","0.43"
"45","3","0.44","300","deterministic","1659","true","0.44"
"46","3","0.45","300","deterministic","1662","true","0.45"
"47","3","0.46","300","deterministic","1524","true","0.46"
"48","3","0.47","300","deterministic","1724","true","0.47"
"49","3","0.48","300","deterministic","1544","true","0.48"
"50","3","0.49","300","deterministic","1437","true","0.49"
"51","3","0.5","300","deterministic","1501","true","0.5"
"52","3","0.51","300","deterministic","1740","true","0.51"
"53","3","0.52","300","deterministic","1838","true","0.52"
"54","3","0.53","300","deterministic","1417","true","0.53"
"55","3","0.54","300","deterministic","1418","true","0.54"
"57","3","0.56","300","deterministic","1505","true","0.56"
"56","3","0.55","300","deterministic","1751","true","0.55"
"58","3","0.57","300","deterministic","1666","true","0.57"
"59","3","0.58","300","deterministic","1604","true","0.58"
"60","3","0.59","300","deterministic","1285","true","0.59"
"61","3","0.6","300","deterministic","1327","true","0.6"
"62","3","0.61","300","deterministic","1411","true","0.61"
"63","3","0.62","300","deterministic","1425","true","0.62"
"64","3","0.63","300","deterministic","1599","true","0.63"
"65","3","0.64","300","deterministic","1451","true","0.64"
"66","3","0.65","300","deterministic","1951","true","0.65"
"67","3","0.66","300","deterministic","1625","true","0.66"
"69","3","0.68","300","deterministic","1311","true","0.68"
"68","3","0.67","300","deterministic","1502","true","0.67"
"70","3","0.69","300","deterministic","1396","true","0.69"
"71","3","0.7","300","deterministic","1508","true","0.7"
"72","3","0.71","300","deterministic","1580","true","0.71"
"73","3","0.72","300","deterministic","1760","true","0.72"
"74","3","0.73","300","deterministic","1417","true","0.73"
"75","3","0.74","300","deterministic","1401","true","0.74"
"76","3","0.75","300","deterministic","1500","true","0.75"
"77","3","0.76","300","deterministic","1594","true","0.76"
"78","3","0.77","300","deterministic","1589","true","0.77"
"79","3","0.78","300","deterministic","1313","true","0.78"
"81","3","0.8","300","deterministic","1424","true","0.8"
"80","3","0.79","300","deterministic","1788","true","0.79"
"82","3","0.81","300","deterministic","1586","true","0.81"
"83","3","0.82","300","deterministic","1470","true","0.82"
"84","3","0.83","300","deterministic","1377","true","0.83"
"85","3","0.84","300","deterministic","1376","true","0.84"
"86","3","0.85","300","deterministic","1716","true","0.85"
"88","3","0.87","300","deterministic","1278","true","0.87"
"87","3","0.86","300","deterministic","1704","true","0.86"
"89","3","0.88","300","deterministic","1466","true","0.88"
"90","3","0.89","300","deterministic","1438","true","0.89"
"92","3","0.91","300","deterministic","1364","true","0.91"
"93","3","0.92","300","deterministic","1386","true","0.92"
"91","3","0.9","300","deterministic","1893","true","0.9"
"94","3","0.93","300","deterministic","1635","true","0.93"
"95","3","0.94","300","deterministic","1567","true","0.94"
"97","3","0.96","300","deterministic","1594","true","0.96"
"98","3","0.97","300","deterministic","1502","true","0.97"
"96","3","0.95","300","deterministic","2300","true","0.95"
"99","3","0.98","300","deterministic","1347","true","0.98"
"100","3","0.99","300","deterministic","1517","true","0.99"
"101","3","1","300","deterministic","1534","true","1"
"102","3","1.01","300","deterministic","2000","false","1.01"
"104","3","1.03","300","deterministic","2000","false","1.03"
"103","3","1.02","300","deterministic","2000","false","1.02"
"105","3","1.04","300","deterministic","2000","false","1.04"
"107","3","1.06","300","deterministic","1000","false","1.06"
"106","3","1.05","300","deterministic","2000","false","1.05"
"111","3","1.1","300","deterministic","1000","false","1.1"
"108","3","1.07","300","deterministic","2000","false","1.07"
"109","3","1.08","300","deterministic","2000","false","1.08"
"110","3","1.09","300","deterministic","2000","false","1.09"
"112","3","1.11","300","deterministic","1000","false","1.11"
"113","3","1.12","300","deterministic","1000","false","1.12"
"114","3","1.13","300","deterministic","1000","false","1.13"
"115","3","1.14","300","deterministic","1000","false","1.14"
"119","3","1.18","300","deterministic","1000","false","1.18"
"116","3","1.15","300","deterministic","2000","false","1.15"
"117","3","1.16","300","deterministic","2000","false","1.16"
"118","3","1.17","300","deterministic","2000","false","1.17"
"120","3","1.19","300","deterministic","1000","false","1.19"
"121","3","1.2","300","deterministic","1000","false","1.2"
"122","3","1.21","300","deterministic","1000","false","1.21"
"123","3","1.22","300","deterministic","1000","false","1.22"
"124","3","1.23","300","deterministic","1000","false","1.23"
"126","3","1.25","300","deterministic","1000","false","1.25"
"127","3","1.26","300","deterministic","1000","false","1.26"
"128","3","1.27","300","deterministic","1000","false","1.27"
"125","3","1.24","300","deterministic","2000","false","1.24"
"130","3","1.29","300","deterministic","1000","false","1.29"
"129","3","1.28","300","deterministic","1000","false","1.28"
"133","3","1.32","300","deterministic","1000","false","1.32"
"134","3","1.33","300","deterministic","1000","false","1.33"
"131","3","1.3","300","deterministic","2000","false","1.3"
"132","3","1.31","300","deterministic","2000","false","1.31"
